short_name,region_code,station_id,long_name,label,lat,lon,station_type
Palermo C.le,0,S12002,PALERMO CENTRALE,Palermo,38.109187,13.367515,1
Treviso C.,0,S02712,TREVISO C.,Treviso,45.659608,12.24614,3
Trieste Centrale,0,S03317,TRIESTE CENTRALE,Trieste,45.657456,13.771873,1
Udine,0,S03026,UDINE,Udine,46.055791,13.242003,1
Milano Centrale,0,S01700,MILANO CENTRALE,Milano,45.486347,9.204528,1
Lamezia T. C.le,0,S11749,LAMEZIA TERME CENTRALE,Lamezia Terme,38.921347,16.255577,2
Domodossola,0,S01003,DOMODOSSOLA,,46.115429,8.296684,2
Venezia S.Lucia,0,S02593,VENEZIA SANTA LUCIA,Venezia,45.441569,12.320882,1
Ardenno Masino,1,S01427,ARDENNO MASINO,,46.16198,9.651374,3
Arena Po,1,S01947,ARENA PO,,45.082065,9.360394,3
Arona,1,S01020,ARONA,,45.755392,8.559075,4
Asola,1,S01847,ASOLA,,45.220454,10.402313,3
Alessandria,1,S00470,ALESSANDRIA,Alessandria,44.909091,8.606498,4
Corbetta S.Stef.,1,S01041,CORBETTA S. STEFANO,,45.480829,8.917457,3
Cosio Traona,1,S01424,COSIO TRAONA,,46.135564,9.525498,3
Gazzada Schian.M,1,S01207,GAZZADA SCHIANNO MORAZZONE,,45.77862,8.824815,3
Gazzo di Bigarel,1,S02381,GAZZO DI BIGARELLO,,45.176648,10.894005,3
Ghedi,1,S01841,GHEDI,,45.409439,10.280506,3
Castel d'Ario,1,S02382,CASTEL D`ARIO,,45.183399,10.97531,3
Castelleone,1,S01606,CASTELLEONE,,45.301826,9.76779,3
Castellucchio,1,S01923,CASTELLUCCHIO,,45.144293,10.64749,3
Castelvetro,1,S01960,CASTELVETRO,,45.100095,9.982181,4
Castione A.,1,S01429,CASTIONE ANDEVENNO,,46.161659,9.806151,3
Castronno,1,S01208,CASTRONNO,,45.74524,8.810302,3
Cava Carbonara,1,S00279,CAVA CARBONARA,,45.147055,9.071387,3
Cava Tigozzi,1,S01914,CAVA TIGOZZI,,45.156823,9.955827,3
Cavaria Oggiona,1,S01210,CAVARIA OGGIONA JERAGO,,45.698145,8.8035,3
Cernusco-Merate,1,S01513,CERNUSCO-MERATE,,45.695096,9.396794,3
Certosa di Pavia,1,S01803,CERTOSA DI PAVIA,,45.256927,9.154456,3
Bressana Argine,1,S01930,BRESSANA ARGINE,,45.072739,9.137038,3
Bressana Bott.,1,S01805,BRESSANA BOTTARONE,,45.086298,9.110602,3
Broni,1,S01944,BRONI,,45.066263,9.258751,3
Chiari,1,S01713,CHIARI,,45.54011,9.926474,3
Chiavenna,1,S01400,CHIAVENNA,,46.321258,9.407129,3
Chignolo Po,1,S01868,CHIGNOLO PO,,45.160942,9.494196,3
Chiuduno,1,S01536,CHIUDUNO,,45.650449,9.846924,3
Chiuro,1,S01435,CHIURO,,46.164658,9.992317,3
Cisano Capr.B.,1,S01525,CISANO CAPRINO BERGAMASCO,,45.739606,9.474261,3
Civate,1,S01462,CIVATE,,45.831295,9.352877,3
Coccaglio,1,S01540,COCCAGLIO,,45.560971,9.977648,3
Codogno,1,S01828,CODOGNO,,45.154897,9.701376,3
Colico,1,S01420,COLICO,,46.138019,9.375222,3
Bologna Centrale,1,S05043,BOLOGNA C.LE,Bologna,44.50626,11.342267,4
Borgoforte,1,S02338,BORGOFORTE,,45.050328,10.752388,3
Borgolombardo,1,S01830,BORGOLOMBARDO,,45.403856,9.27111,3
Bozzolo,1,S01920,BOZZOLO,,45.107246,10.472655,3
Brenna-Alzate,1,S01452,BRENNA-ALZATE,,45.754044,9.183312,3
Brescia,1,S01717,BRESCIA,Brescia,45.532315,10.212828,3
Candia Lomellina,1,S00333,CANDIA LOMELLINA,,45.179911,8.593156,3
Canneto s/Oglio,1,S01848,CANNETO SULL`OGLIO,,45.150211,10.37147,3
Cantu'-Cermenate,1,S01313,CANTU`- CERMENATE,,45.716236,9.099284,3
Capralba,1,S01603,CAPRALBA,,45.443871,9.640015,3
Caravaggio,1,S01602,CARAVAGGIO,,45.491158,9.637723,3
Carimate,1,S01315,CARIMATE,,45.697094,9.107188,3
Carnate Usmate,1,S01511,CARNATE USMATE,,45.653072,9.375089,3
Casalbuttano,1,S01609,CASALBUTTANO,,45.255398,9.962361,3
Casaletto Vaprio,1,S01604,CASALETTO VAPRIO,,45.408641,9.631746,3
Casalmaggiore,1,S01850,CASALMAGGIORE,,44.993139,10.425023,3
Casalpusterlengo,1,S01827,CASALPUSTERLENGO,,45.182473,9.653627,3
Casletto-Rogeno,1,S01457,CASLETTO-ROGENO,,45.786028,9.275375,3
Casorate Semp.,1,S01029,CASORATE SEMPIONE,,45.675075,8.743954,3
Cassago-N.-B.,1,S01490,CASSAGO-NIBIONNO-BULCIAGO,,45.746243,9.279834,3
Cassano d'Adda,1,S01707,CASSANO D`ADDA,,45.514372,9.512746,3
Casteggio,1,S01942,CASTEGGIO,,45.017365,9.124595,3
Tortona,1,S01810,TORTONA,,44.900126,8.861777,4
Abbadia Lariana,1,S01416,ABBADIA LARIANA,,45.895864,9.335175,3
Abbiategrasso,1,S01062,ABBIATEGRASSO,,45.400631,8.921305,3
Acquanegra Crem.,1,S01913,ACQUANEGRA CREMONESE,,45.172102,9.888456,3
Airuno,1,S01515,AIRUNO,,45.754086,9.422066,3
Albate-Camerlata,1,S01310,ALBATE CAMERLATA,Albate,45.777371,9.073461,3
Albate-Trecallo,1,S01450,ALBATE-TRECALLO,,45.777391,9.095752,3
Albizzate S.A.,1,S01209,ALBIZZATE SOLBIATE ARNO,,45.724117,8.80621,3
Albuzzano,1,S01863,ALBUZZANO,,45.172504,9.261624,3
Ambivere Mapello,1,S01527,AMBIVERE MAPELLO,,45.722163,9.550444,3
Anzano del Parco,1,S01453,ANZANO DEL PARCO,,45.764965,9.202676,3
Arcisate,1,S01203,ARCISATE,,45.858579,8.86241,3
Arcore,1,S01510,ARCORE,,45.623493,9.322798,3
Gambolo'Remondo',1,S00274,GAMBOLO`REMONDO`,,45.23587,8.79757,3
Sangiano,1,S01140,SANGIANO,,45.874464,8.630769,3
Sartirana,1,S00038,SARTIRANA,,45.111728,8.67012,3
Montirone,1,S01840,MONTIRONE,,45.451352,10.239482,3
Monza,1,S01322,MONZA,,45.577789,9.273253,3
